product_code,name,counted_litres,ledger_at_cutoff,system_now,moved_since_cutoff,moved_on_count_day,new_balance,change,tech_cleared,sheet_said_system_had
"FRAG_0138","Santal 66 (Blue) - KIRRI",0,2000,2000,0,,0,-2000,0,1300
"FRAG_0139","Serpentine Comme Des",44,44100,44100,0,,44000,-100,0,45100
"FRAG_0140","Santal and White Tea",67,81750,81750,0,,67000,-14750,14000,50750
"FRAG_0141","Sandalwood B",132,124650,124650,0,,132000,7350,10000,131150
"FRAG_0142","Santal, Mahogany & Sandalwood",5,2000,2000,0,,5000,3000,0,2000
"FRAG_0143","Santal, Mahogany & Soft Floral",0,5500,1000,-4500,,-4500,-5500,0,1000
"FRAG_0144","Sandalwood Fig & Jasmine",3,3000,3000,0,,3000,0,0,3000
"FRAG_0145","Sandalwood & Hint of Jasmin",25,18000,19000,1000,,26000,7000,0,19000
"FRAG_0146","TF Ambitious ",5,6600,5600,-1000,,4000,-1600,0,5600
"FRAG_0147","The Rouge",9,5600,5600,0,,9000,3400,0,5600
"FRAG_0148","Teak & Neroli",6,6400,6400,0,,6000,-400,0,6400
"FRAG_0149","The Blanc",15,27000,17000,-10000,,5000,-12000,0,17000
"FRAG_0150","Tabac Noir",29,17000,29300,12300,,41300,12000,0,29300
"FRAG_0151","Tropical Cruise",20,16000,26000,10000,,30000,4000,0,26000
"FRAG_0152","Tea Time",8,5800,8000,2200,,10200,2200,0,8000
"FRAG_0153","The Star Azure",2,1000,1000,0,,2000,1000,0,1000
"FRAG_0154","Tuberose Vanille",20,19000,19000,0,,20000,1000,0,19000
"FRAG_0155","The Star Lobby",10,10000,10000,0,,10000,0,0,10000
"FRAG_0156","Terre",30,24130,24130,0,,30000,5870,0,25200
"FRAG_0157","Ultimate Leather",7,3100,5000,1900,,8900,3900,0,5000
"FRAG_0158","Vetiver, Water Lily + Sandalwood",37,49000,17000,-32000,,5000,-12000,0,17000
"FRAG_0159","Vetiver D'Hiver",15,17850,17850,0,,15000,-2850,0,20850
"FRAG_0160","French Vanilla (Vanilla Bourbon)",40,26200,26200,0,,40000,13800,0,26200
"FRAG_0161","White Tea",140,185850,180850,-5000,yes,135000,-45850,17000,183950
"FRAG_0162","White Tea & Ginger Flowers",94,97885,93885,-4000,yes,90000,-3885,6000,94285
"FRAG_0163","Wild Lily & Spring Moss",10,14200,14200,0,,10000,-4200,0,17200
"FRAG_0164","W Hotel",31,31700,31700,0,,31000,-700,0,31700
"FRAG_0165","Waterplants",10,15200,15200,0,,10000,-5200,0,15200
"FRAG_0166","Waterfall",107,106700,206700,100000,yes,207000,300,0,107700
"FRAG_0167","Whiskey Bar",8,10650,10650,0,,8000,-2650,0,9050
"FRAG_0168","White Tea & Bamboo",60,45400,45400,0,,60000,14600,0,45400
"FRAG_0169","Wonderwood",10,10000,10000,0,,10000,0,0,10000
"FRAG_0170","ZWT",27,27000,27000,0,,27000,0,0,27000
