product_code,fragrance,supplier_code,unit,before_ml,counted_ml,after_ml,change_ml,before_L,counted_L,after_L,change_L,technician_stock_cleared_ml,status
"FRAG_0159","Vetiver D'Hiver","FIA221547",mL,17850,15000,15000,-2850,17.9,15.0,15.0,-2.9,0,"adjusted"
"FRAG_0056","Fierce Type","",mL,10900,10000,8100,-2800,10.9,10.0,8.1,-2.8,0,"adjusted"
"FRAG_0072","Grey Vetiver","",mL,1800,1000,-1000,-2800,1.8,1.0,-1.0,-2.8,0,"adjusted"
"FRAG_0127","Rock N Roll","LUX0906A",mL,21200,24000,24000,2800,21.2,24.0,24.0,2.8,0,"adjusted"
"FRAG_0167","Whiskey Bar","FIA213959",mL,10650,8000,8000,-2650,10.7,8.0,8.0,-2.6,0,"adjusted"
"FRAG_0086","London (BLUE DRUM -Bell)","6132618",mL,2600,0,0,-2600,2.6,0.0,0.0,-2.6,0,"adjusted"
"FRAG_0096","Mahogany Wood","LUX0710",mL,69400,73000,72000,2600,69.4,73.0,72.0,2.6,0,"adjusted"
"FRAG_0031","Crossfit","FIA260033",mL,18600,21500,21100,2500,18.6,21.5,21.1,2.5,0,"adjusted"
"FRAG_0073","Hermes Country","SFA1683",mL,20000,17500,17500,-2500,20.0,17.5,17.5,-2.5,0,"adjusted"
"FRAG_0049","Eucalyptus Citriodora","",mL,10300,40000,12500,2200,10.3,40.0,12.5,2.2,0,"adjusted"
"FRAG_0104","Native B","FIA223766",mL,33300,35500,35500,2200,33.3,35.5,35.5,2.2,0,"adjusted"
"FRAG_0152","Tea Time","SLC2631",mL,8000,8000,10200,2200,8.0,8.0,10.2,2.2,0,"adjusted"
"FRAG_0071","Golden Garden","FIA250769",mL,28100,26000,26000,-2100,28.1,26.0,26.0,-2.1,0,"adjusted"
"FRAG_0062","Green","",mL,1000,3000,3000,2000,1.0,3.0,3.0,2.0,0,"adjusted"
"FRAG_0125","Rose Diptyque","FIA231309",mL,17000,15000,15000,-2000,17.0,15.0,15.0,-2.0,0,"adjusted"
"FRAG_0133","Sea Salt","",mL,8000,10000,10000,2000,8.0,10.0,10.0,2.0,0,"adjusted"
"FRAG_0138","Santal 66 (Blue) - KIRRI","6132781",mL,2000,0,0,-2000,2.0,0.0,0.0,-2.0,0,"adjusted"
"FRAG_0012","Baies ","FIA213481",mL,16900,15000,15000,-1900,16.9,15.0,15.0,-1.9,0,"adjusted"
"FRAG_0028","Christmas B","FIA251174",mL,6900,8000,8600,1700,6.9,8.0,8.6,1.7,0,"adjusted"
"FRAG_0046","Denim","FIA224008",mL,12700,11000,11000,-1700,12.7,11.0,11.0,-1.7,0,"adjusted"
"FRAG_0113","Oud","FIA250823",mL,35300,37000,37000,1700,35.3,37.0,37.0,1.7,0,"adjusted"
"FRAG_0075","Isopropyl Myristate (IPM)","FIA251436",mL,71320,73000,73000,1680,71.3,73.0,73.0,1.7,0,"adjusted"
"FRAG_0130","Saffron","FIA260780",mL,19622,18000,18000,-1622,19.6,18.0,18.0,-1.6,0,"adjusted"
"FRAG_0105","Noir ","FIA213480",mL,47400,50000,49000,1600,47.4,50.0,49.0,1.6,0,"adjusted"
"FRAG_0146","TF Ambitious ","LUX 750 	",mL,5600,5000,4000,-1600,5.6,5.0,4.0,-1.6,0,"adjusted"
"FRAG_0123","Rainstorm","",mL,3600,5000,5000,1400,3.6,5.0,5.0,1.4,0,"adjusted"
"FRAG_0026","By The Fireplace","FIA232061",mL,2300,1000,1000,-1300,2.3,1.0,1.0,-1.3,0,"adjusted"
"FRAG_0004","Ambrette, Magnolia & Chamomile","SLC0803",mL,23100,22000,22000,-1100,23.1,22.0,22.0,-1.1,0,"adjusted"
"FRAG_0023","Blondewood","FIA250463",mL,78000,78000,77000,-1000,78.0,78.0,77.0,-1.0,0,"adjusted"
"FRAG_0024","B Natural","FIA250716",mL,0,0,1000,1000,0.0,0.0,1.0,1.0,0,"adjusted"
"FRAG_0109","Orange Grass","SFA1578",mL,9000,10000,10000,1000,9.0,10.0,10.0,1.0,0,"adjusted"
"FRAG_0111","Orange B","FIA231256",mL,21000,20000,20000,-1000,21.0,20.0,20.0,-1.0,0,"adjusted"
"FRAG_0153","The Star Azure","FIA250835",mL,1000,2000,2000,1000,1.0,2.0,2.0,1.0,0,"adjusted"
"FRAG_0154","Tuberose Vanille","FIA241278",mL,19000,20000,20000,1000,19.0,20.0,20.0,1.0,0,"adjusted"
"FRAG_0108","Oz Design Signature","LUX1726",mL,25050,26000,26000,950,25.1,26.0,26.0,0.9,0,"adjusted"
"FRAG_0032","Coconut Lime Punch ","LUX1036",mL,79300,81000,80200,900,79.3,81.0,80.2,0.9,0,"adjusted"
"FRAG_0033","Chai Tea","",mL,20100,20000,21000,900,20.1,20.0,21.0,0.9,0,"adjusted"
"FRAG_0114","Premiere","SLC2486",mL,56100,57000,57000,900,56.1,57.0,57.0,0.9,0,"adjusted"
